       0    42.230 
    5000    45.612 
   10000    40.709 
   15000    44.007 
   20000    40.934 
   25000    41.487 
   30000    41.602 
   35000    36.958 
   40000    36.237 
   45000    38.884 
   50000    38.702 
   55000    40.771 
   60000    36.894 
   65000    36.238 
   70000    41.537 
   75000    41.471 
   80000    41.651 
   85000    38.403 
   90000    41.923 
   95000    40.197 
  100000    42.373 
  105000    41.557 
  110000    42.171 
  115000    42.230 
  120000    39.832 
  125000    39.322 
  130000    36.592 
  135000    38.959 
  140000    40.345 
  145000    41.088 
  150000    34.413 
  155000    38.621 
  160000    39.493 
  165000    39.506 
  170000    40.872 
  175000    41.518 
  180000    37.424 
  185000    41.594 
  190000    36.700 
  195000    39.545 
  200000    38.007 
  205000    41.360 
  210000    39.234 
  215000    35.851 
  220000    40.030 
  225000    37.108 
  230000    40.741 
  235000    32.012 
  240000    37.314 
  245000    43.971 
  250000    36.940 
  255000    40.701 
  260000    39.599 
  265000    37.153 
  270000    40.956 
  275000    37.756 
  280000    42.764 
  285000    43.368 
  290000    37.863 
  295000    38.601 
  300000    41.127 
  305000    37.177 
  310000    38.776 
  315000    40.025 
  320000    42.160 
  325000    43.384 
  330000    43.738 
  335000    38.797 
  340000    43.658 
  345000    40.671 
  350000    39.301 
  355000    42.031 
  360000    42.137 
  365000    40.653 
  370000    40.338 
  375000    39.367 
  380000    40.595 
  385000    37.851 
  390000    37.460 
  395000    38.079 
  400000    40.497 
  405000    39.107 
  410000    34.542 
  415000    38.207 
  420000    41.612 
  425000    36.508 
  430000    42.665 
  435000    37.055 
  440000    39.793 
  445000    39.398 
  450000    44.631 
  455000    42.188 
  460000    38.382 
  465000    38.368 
  470000    41.567 
  475000    40.291 
  480000    38.230 
  485000    40.848 
  490000    39.716 
  495000    43.681 
